adm3_pcode,adm3_name,adm2_name,adm1_name
ET030507,Antsokiya,North Shewa (AM),Amhara
ET030525,Arerti town,North Shewa (AM),Amhara
ET030514,Assagirt,North Shewa (AM),Amhara
ET030598,Ataye town,North Shewa (AM),Amhara
ET030519,Basona Worena,North Shewa (AM),Amhara
ET030517,Berehet,North Shewa (AM),Amhara
ET030520,Debre Berhan town,North Shewa (AM),Amhara
ET030527,Debre Sina town,North Shewa (AM),Amhara
ET030508,Eferatana Gidem,North Shewa (AM),Amhara
ET030528,Enewari town,North Shewa (AM),Amhara
ET030503,Ensaro,North Shewa (AM),Amhara
ET030506,Gishe Rabel,North Shewa (AM),Amhara
ET030516,Hagere Mariam,North Shewa (AM),Amhara
ET030512,Kewet,North Shewa (AM),Amhara
ET030597,Mehal Meda town,North Shewa (AM),Amhara
ET030505,Menze Gera Midir,North Shewa (AM),Amhara
ET030521,Menze Keya Gabriel,North Shewa (AM),Amhara
ET030522,Menze Lalo Midir,North Shewa (AM),Amhara
ET030509,Menze Mama Midir,North Shewa (AM),Amhara
ET030502,Merhabete,North Shewa (AM),Amhara
ET030501,Mida Woremo,North Shewa (AM),Amhara
ET030518,Minjar Shenkora,North Shewa (AM),Amhara
ET030511,Mojan Wedera,North Shewa (AM),Amhara
ET030526,Molale town,North Shewa (AM),Amhara
ET030504,Moretna Jiru,North Shewa (AM),Amhara
ET030595,Shoa Robit,North Shewa (AM),Amhara
ET030523,Siya Debirna Wayu,North Shewa (AM),Amhara
ET030510,Tarema Ber,North Shewa (AM),Amhara
ET030524,Tulefa town,North Shewa (AM),Amhara
ET030313,Angot,North Wello,Amhara
ET030301,Bugna,North Wello,Amhara
ET030311,Dawunt,North Wello,Amhara
ET030314,Filakit town,North Wello,Amhara
ET030315,Gashena town,North Wello,Amhara
ET030312,Gazo,North Wello,Amhara
ET030303,Gidan,North Wello,Amhara
ET030307,Guba Lafto,North Wello,Amhara
ET030308,Habru,North Wello,Amhara
ET030306,Hara town,North Wello,Amhara
ET030399,Kobo town,North Wello,Amhara
ET030398,Lalibela town,North Wello,Amhara
ET030310,Lasta,North Wello,Amhara
ET030304,Meket,North Wello,Amhara
ET030397,Mersa town,North Wello,Amhara
ET030302,Raya Kobo,North Wello,Amhara
ET030305,Wadla,North Wello,Amhara
ET030309,Woldiya town,North Wello,Amhara
ET031004,Artuma Fursi,Oromo Nationality Administration,Amhara
ET031002,Bati,Oromo Nationality Administration,Amhara
ET031099,Bati town,Oromo Nationality Administration,Amhara
ET031007,Chef Robit town,Oromo Nationality Administration,Amhara
ET031001,Dewa Cheffa,Oromo Nationality Administration,Amhara
ET031005,Dewa Harewa,Oromo Nationality Administration,Amhara
ET031003,Jilye Tumuga,Oromo Nationality Administration,Amhara
ET031006,Kemisie town,Oromo Nationality Administration,Amhara
ET031008,Senbete town,Oromo Nationality Administration,Amhara
ET030299,Adiss Zemen town,South Gondar,Amhara
ET030211,Andabet /West Esite,South Gondar,Amhara
ET030210,Debre Tabor town,South Gondar,Amhara
ET030209,Dera (AM),South Gondar,Amhara
ET030208,East Esite,South Gondar,Amhara
ET030201,Ebenat,South Gondar,Amhara
ET030217,Ebenat town,South Gondar,Amhara
ET030204,Farta,South Gondar,Amhara
ET030203,Fogera,South Gondar,Amhara
ET030212,Guna Begemider,South Gondar,Amhara
ET030218,Hamusit town,South Gondar,Amhara
ET030205,Lay Gayint,South Gondar,Amhara
ET030202,Libokemekem,South Gondar,Amhara
ET030298,Mekan Eyesuse,South Gondar,Amhara
ET030213,Mena Meketewa,South Gondar,Amhara
ET030215,Nefas Mewicha town,South Gondar,Amhara
ET030214,Sede Muja,South Gondar,Amhara
ET030207,Semada,South Gondar,Amhara
ET030206,Tach Gayint,South Gondar,Amhara
ET030216,Wegeda town,South Gondar,Amhara
ET030293,Woreta town,South Gondar,Amhara
ET030427,Akeseta town,South Wello,Amhara
ET030408,Albuko,South Wello,Amhara
ET030404,Ambasel,South Wello,Amhara
ET030401,Argoba,South Wello,Amhara
ET030412,Borena /Debresina,South Wello,Amhara
ET030425,Degolo town,South Wello,Amhara
ET030406,Delanta,South Wello,Amhara
ET030409,Dessie Zuria,South Wello,Amhara
ET030418,Dessie town,South Wello,Amhara
ET030428,Gimeba town,South Wello,Amhara
ET030429,Harbu town,South Wello,Amhara
ET030499,Hike town,South Wello,Amhara
ET030414,Jama,South Wello,Amhara
ET030407,Kalu,South Wello,Amhara
ET030426,Kelala town,South Wello,Amhara
ET030413,Kelela,South Wello,Amhara
ET030417,Kombolcha town,South Wello,Amhara
ET030403,Kutaber,South Wello,Amhara
ET030410,Legambo,South Wello,Amhara
ET030420,Legehida,South Wello,Amhara
ET030419,Mehal Sayint,South Wello,Amhara
ET030498,Mekane Selam town,South Wello,Amhara
ET030421,Mekdela,South Wello,Amhara
ET030411,Sayint,South Wello,Amhara
ET030402,Tenta,South Wello,Amhara
ET030405,Thehulederie,South Wello,Amhara
ET030416,Wegde,South Wello,Amhara
ET030430,Wegedi town,South Wello,Amhara
ET030424,Wegel tena town,South Wello,Amhara
ET030415,Were Ilu,South Wello,Amhara
ET030423,Wereilu town,South Wello,Amhara
ET030422,Worebabu,South Wello,Amhara
ET030805,Abergele (AM),Wag Hamra,Amhara
ET030809,Amde Work town,Wag Hamra,Amhara
ET030803,Dehana,Wag Hamra,Amhara
ET030804,Gaz Gibla,Wag Hamra,Amhara
ET030806,Sahila,Wag Hamra,Amhara
ET030802,Sekota,Wag Hamra,Amhara
ET030807,Sekota town,Wag Hamra,Amhara
ET030808,Tsagbeji,Wag Hamra,Amhara
ET030801,Zequala,Wag Hamra,Amhara
ET030710,Bure (AM),West Gojam,Amhara
ET030798,Bure town,West Gojam,Amhara
ET030707,Dega Damot,West Gojam,Amhara
ET030708,Dembecha,West Gojam,Amhara
ET030717,Denbecha town,West Gojam,Amhara
ET030714,Finote Selam town,West Gojam,Amhara
ET030709,Jabi Tehnan,West Gojam,Amhara
ET030720,Jiga town,West Gojam,Amhara
ET030706,Quarit,West Gojam,Amhara
ET030705,Sekela,West Gojam,Amhara
ET030716,Shendi town,West Gojam,Amhara
ET030711,Wemberma,West Gojam,Amhara
ET031205,Adagn Ager Chaqo,West Gondar,Amhara
ET031292,Gendawuha town,West Gondar,Amhara
ET031213,Metema,West Gondar,Amhara
ET031224,Metema Yohanes town,West Gondar,Amhara
ET031223,Midre Genet,West Gondar,Amhara
ET031206,Mirab Armacho,West Gondar,Amhara
ET031214,Quara,West Gondar,Amhara
ET060303,Abrahmo,Assosa,Benishangul-Gumuz
ET060309,Assosa town Admin,Assosa,Benishangul-Gumuz
ET060305,Bambasi,Assosa,Benishangul-Gumuz
ET060310,Bambasi town,Assosa,Benishangul-Gumuz
ET060306,Bilidigilu,Assosa,Benishangul-Gumuz
ET060307,Homosha,Assosa,Benishangul-Gumuz
ET060302,Kurmuk,Assosa,Benishangul-Gumuz
ET060301,Menge,Assosa,Benishangul-Gumuz
ET060304,Sherkole,Assosa,Benishangul-Gumuz
ET060308,Undulu,Assosa,Benishangul-Gumuz
ET060311,Ura,Assosa,Benishangul-Gumuz
ET060404,Dembe,Kamashi,Benishangul-Gumuz
ET060403,Kamashi,Kamashi,Benishangul-Gumuz
ET060400,Kamashi town,Kamashi,Benishangul-Gumuz
ET060405,Mezniga,Kamashi,Benishangul-Gumuz
ET060402,Sedal,Kamashi,Benishangul-Gumuz
ET060401,Zayi,Kamashi,Benishangul-Gumuz
ET060508,Mao-komo Special,Mao-komo Special,Benishangul-Gumuz
ET060207,Bulen,Metekel,Benishangul-Gumuz
ET060201,Dangur,Metekel,Benishangul-Gumuz
ET060205,Dibate,Metekel,Benishangul-Gumuz
ET060200,Gilgel Beles town,Metekel,Benishangul-Gumuz
ET060202,Guba,Metekel,Benishangul-Gumuz
ET060204,Mandura,Metekel,Benishangul-Gumuz
ET060206,Pawe,Metekel,Benishangul-Gumuz
ET060203,Wembera,Metekel,Benishangul-Gumuz
ET070402,Bui town,East Guraghe,Central Ethiopia
ET070401,Butajira town,East Guraghe,Central Ethiopia
ET070406,Debub Sodo,East Guraghe,Central Ethiopia
ET070404,Meskan,East Guraghe,Central Ethiopia
ET070405,Misrak Meskan,East Guraghe,Central Ethiopia
ET070403,Sodo,East Guraghe,Central Ethiopia
ET070102,Abeshege,Guraghe,Central Ethiopia
ET070110,Cheha,Guraghe,Central Ethiopia
ET070116,Emdebir town,Guraghe,Central Ethiopia
ET070108,Endiguagn,Guraghe,Central Ethiopia
ET070111,Enemor Ener,Guraghe,Central Ethiopia
ET070120,Enor Ener,Guraghe,Central Ethiopia
ET070103,Ezha,Guraghe,Central Ethiopia
ET070104,Gedebano Gutazer Welene,Guraghe,Central Ethiopia
ET070113,Geta,Guraghe,Central Ethiopia
ET070109,Gumer,Guraghe,Central Ethiopia
ET070112,Muhur Na Aklil,Guraghe,Central Ethiopia
ET070114,Welkite town,Guraghe,Central Ethiopia
ET070215,Ameka,Hadiya,Central Ethiopia
ET070208,Analemmo,Hadiya,Central Ethiopia
ET070207,Duna,Hadiya,Central Ethiopia
ET070210,Gibe,Hadiya,Central Ethiopia
ET070213,Gimbichu town,Hadiya,Central Ethiopia
ET070202,Gombora,Hadiya,Central Ethiopia
ET070211,Hosaena town,Hadiya,Central Ethiopia
ET070214,Jajura town,Hadiya,Central Ethiopia
ET070203,Lemmo,Hadiya,Central Ethiopia
ET070209,Mirab Badowach,Hadiya,Central Ethiopia
ET070217,Mirab Soro,Hadiya,Central Ethiopia
ET070201,Misha,Hadiya,Central Ethiopia
ET070205,Misrak Badawacho,Hadiya,Central Ethiopia
ET070204,Shashogo,Hadiya,Central Ethiopia
ET070212,Shone town,Hadiya,Central Ethiopia
ET070216,Siraro Badawacho,Hadiya,Central Ethiopia
ET070206,Soro,Hadiya,Central Ethiopia
ET071403,Atote Ulo,Halaba,Central Ethiopia
ET071401,Kulito town,Halaba,Central Ethiopia
ET071402,Wera,Halaba,Central Ethiopia
ET071404,Wera Djo,Halaba,Central Ethiopia
ET070001,Kebena Special,Kebena Special,Central Ethiopia
ET070309,Adilo,Kembata,Central Ethiopia
ET070302,Angacha,Kembata,Central Ethiopia
ET070307,Damboya,Kembata,Central Ethiopia
ET070306,Doyogena,Kembata,Central Ethiopia
ET070308,Durame town,Kembata,Central Ethiopia
ET070305,Hadero Tunto,Kembata,Central Ethiopia
ET070312,Hadero town,Kembata,Central Ethiopia
ET070304,Kacha Bira,Kembata,Central Ethiopia
ET070303,Kediada Gambela,Kembata,Central Ethiopia
ET070310,Shinshincho town,Kembata,Central Ethiopia
ET072501,Mareko Special,Mareko Special,Central Ethiopia
ET072001,Alicho Woriro,Siltie,Central Ethiopia
ET072005,Dalocha,Siltie,Central Ethiopia
ET072011,Kibet town,Siltie,Central Ethiopia
ET072003,Lanfero,Siltie,Central Ethiopia
ET072004,Mierab Azenet Berbere,Siltie,Central Ethiopia
ET072007,Misrak Azenet Berbere,Siltie,Central Ethiopia
ET072013,Misrak Siltie,Siltie,Central Ethiopia
ET072012,Mito,Siltie,Central Ethiopia
ET072006,Sankura,Siltie,Central Ethiopia
ET072002,Siltie,Siltie,Central Ethiopia
ET072009,Tora town,Siltie,Central Ethiopia
ET072010,Worabe town,Siltie,Central Ethiopia
ET072008,Wulbareg,Siltie,Central Ethiopia
ET072601,Tembaro Special,Tembaro Special,Central Ethiopia
ET072403,Deri Saja zuria,Yem,Central Ethiopia
ET072402,Fofa,Yem,Central Ethiopia
ET072401,Saja town,Yem,Central Ethiopia
ET072404,Toba,Yem,Central Ethiopia
ET990108,Awra,Area 1,Contested
ET990107,Dansha town,Area 1,Contested
ET990103,Kafta Humera,Area 1,Contested
ET990102,Korarit,Area 1,Contested
ET990109,May Gaba,Area 1,Contested
ET990106,May Kadra,Area 1,Contested
ET990101,Setit Humera town,Area 1,Contested
ET990105,Tsegede,Area 1,Contested
ET990104,Welkait,Area 1,Contested
ET990202,Laelay Tselemti,Area 2,Contested
ET990203,May Tsebri town,Area 2,Contested
ET990201,Tselemti /West Telemt,Area 2,Contested
ET990304,Alamata town,Area 3,Contested
ET990306,Chercher,Area 3,Contested
ET990303,Korem town,Area 3,Contested
ET990302,Ofla,Area 3,Contested
ET990301,Raya Alamata,Area 3,Contested
ET990305,Zata,Area 3,Contested
ET150201,Aseliso,Dire Dawa rural,Dire Dawa
ET150208,Biyoawale,Dire Dawa rural,Dire Dawa
ET150206,Jeldessa,Dire Dawa rural,Dire Dawa
ET150207,Wahil,Dire Dawa rural,Dire Dawa
ET150109,Addis Ketema (DD),Dire Dawa urban,Dire Dawa
ET150111,Dechatu,Dire Dawa urban,Dire Dawa
ET150110,Gende Kore,Dire Dawa urban,Dire Dawa
ET150112,Hafat Issa,Dire Dawa urban,Dire Dawa
ET150113,Kazira,Dire Dawa urban,Dire Dawa
ET150105,Legehare,Dire Dawa urban,Dire Dawa
ET150104,Malka Jabti /M.Jebdu,Dire Dawa urban,Dire Dawa
ET150114,Police Maret,Dire Dawa urban,Dire Dawa
ET150103,Sabian,Dire Dawa urban,Dire Dawa
ET120201,Abobo,Agnewak,Gambela
ET120205,Dima (GM),Agnewak,Gambela
ET120200,Gambela National Park,Agnewak,Gambela
ET120202,Gambela Zuria,Agnewak,Gambela
ET120206,Gambela town,Agnewak,Gambela
ET120203,Gog,Agnewak,Gambela
ET120204,Jore,Agnewak,Gambela
ET120407,Itang,Itang Special,Gambela
ET120301,Godere,Majang,Gambela
ET120308,Mengesh,Majang,Gambela
ET120101,Akobo,Nuwer,Gambela
ET120103,Jikawo,Nuwer,Gambela
ET120102,Lare,Nuwer,Gambela
ET120105,Makuey,Nuwer,Gambela
ET120104,Wantawo,Nuwer,Gambela
ET130109,Abadir,Harari,Harari
ET130108,Aboker,Harari,Harari
ET130107,Amir Nur,Harari,Harari
ET130106,Dire Teyara,Harari,Harari
ET130105,Erer (HR),Harari,Harari
ET130104,Hakim,Harari,Harari
ET130103,Jinela,Harari,Harari
ET130102,Shenkor,Harari,Harari
ET130101,Sofi,Harari,Harari
ET040810,Amigna,Arsi,Oromia
ET040802,Aseko,Arsi,Oromia
ET040825,Asela town,Arsi,Oromia
ET040823,Bele Gesgar,Arsi,Oromia
ET040894,Bokoji town,Arsi,Oromia
ET040809,Chole,Arsi,Oromia
ET040815,Degeluna Tijo,Arsi,Oromia
ET040895,Dera town,Arsi,Oromia
ET040822,Diksis,Arsi,Oromia
ET040805,Dodota,Arsi,Oromia
ET040803,Golocha,Arsi,Oromia
ET040819,Guna,Arsi,Oromia
ET040807,Hitosa,Arsi,Oromia
ET040824,Inkolo Wabe,Arsi,Oromia
ET040804,Jeju,Arsi,Oromia
ET040818,Limu Bilbilo,Arsi,Oromia
ET040821,Lude Hitosa,Arsi,Oromia
ET040801,Merti,Arsi,Oromia
ET040817,Munessa,Arsi,Oromia
ET040812,Robe,Arsi,Oromia
ET040811,Seru,Arsi,Oromia
ET040893,Shanan Kolu,Arsi,Oromia
ET040814,Shirka,Arsi,Oromia
ET040820,Sire,Arsi,Oromia
ET040808,Sude,Arsi,Oromia
ET040813,Tena,Arsi,Oromia
ET040816,Tiyo,Arsi,Oromia
ET040806,Ziway Dugda,Arsi,Oromia
ET041104,Agarfa,Bale,Oromia
ET041114,Berbere,Bale,Oromia
ET041122,Dinsho,Bale,Oromia
ET041106,Gasera,Bale,Oromia
ET041110,Goba (OR),Bale,Oromia
ET041120,Goba town,Bale,Oromia
ET041116,Goro (Bale),Bale,Oromia
ET041115,Gura Damole,Bale,Oromia
ET041111,Harena Buluk,Bale,Oromia
ET041112,Mena (Bale),Bale,Oromia
ET041119,Robe town,Bale,Oromia
ET041109,Sinana,Bale,Oromia
ET041219,Dilo,Borena,Oromia
ET041211,Dire,Borena,Oromia
ET041291,Dubluk,Borena,Oromia
ET041295,Elwaya,Borena,Oromia
ET041223,Gomole,Borena,Oromia
ET041290,Guchi,Borena,Oromia
ET041216,Miyo,Borena,Oromia
ET041210,Moyale (OR),Borena,Oromia
ET041212,Teltale,Borena,Oromia
ET041207,Yabelo,Borena,Oromia
ET041296,Yabelo town,Borena,Oromia
ET041622,Bedele Zuria,Buno Bedele,Oromia
ET041621,Bedele town,Buno Bedele,Oromia
ET041607,Borecha,Buno Bedele,Oromia
ET041603,Chora (Buno Bedele),Buno Bedele,Oromia
ET041623,Chwaka,Buno Bedele,Oromia
ET041605,Dabo Hana,Buno Bedele,Oromia
ET041608,Dedesa,Buno Bedele,Oromia
ET041604,Dega,Buno Bedele,Oromia
ET041606,Gechi,Buno Bedele,Oromia
ET041618,Meko,Buno Bedele,Oromia
ET042106,Dawe Ketchen,East Bale,Oromia
ET042103,Ginir,East Bale,Oromia
ET042107,Ginir town,East Bale,Oromia
ET042101,Gololcha Bale,East Bale,Oromia
ET042102,Lege Hida,East Bale,Oromia
ET042104,Rayitu,East Bale,Oromia
ET042105,Seweyna,East Bale,Oromia
ET042207,Arero,East Borena,Oromia
ET042209,Dhas,East Borena,Oromia
ET042205,Gora Dola,East Borena,Oromia
ET042206,Gumi Idalo,East Borena,Oromia
ET042202,Liben,East Borena,Oromia
ET042203,Meda Welabu,East Borena,Oromia
ET042201,Negele town,East Borena,Oromia
ET042208,Wachile,East Borena,Oromia
ET042204,West Welabu,East Borena,Oromia
ET041004,Babile (OR),East Hararge,Oromia
ET041000,Babile town,East Hararge,Oromia
ET041013,Bedeno,East Hararge,Oromia
ET041015,Chinaksen,East Hararge,Oromia
ET041011,Deder,East Hararge,Oromia
ET041097,Deder town,East Hararge,Oromia
ET041005,Fedis,East Hararge,Oromia
ET041016,Girawa,East Hararge,Oromia
ET041017,Golo Oda,East Hararge,Oromia
ET041010,Goro Gutu,East Hararge,Oromia
ET041089,Goro Muti,East Hararge,Oromia
ET041003,Gursum (OR),East Hararge,Oromia
ET041006,Haro Maya,East Hararge,Oromia
ET041002,Jarso (East Hararge),East Hararge,Oromia
ET041008,Kersa (East Hararge),East Hararge,Oromia
ET041001,Kombolcha,East Hararge,Oromia
ET041098,Kumbi,East Hararge,Oromia
ET041007,Kurfa Chele,East Hararge,Oromia
ET041019,Maya town,East Hararge,Oromia
ET041020,Mekanisa Oromo,East Hararge,Oromia
ET041012,Melka Balo,East Hararge,Oromia
ET041009,Meta,East Hararge,Oromia
ET041018,Meyu Muleke,East Hararge,Oromia
ET041014,Midhaga Tola,East Hararge,Oromia
ET040706,Ada'a,East Shewa,Oromia
ET040703,Adama,East Shewa,Oromia
ET040708,Adama Tulu Jido Kombolcha,East Shewa,Oromia
ET040714,Adama town,East Shewa,Oromia
ET040712,Akaki,East Shewa,Oromia
ET040798,Batu town,East Shewa,Oromia
ET040709,Bishoftu town,East Shewa,Oromia
ET040710,Bora (OR),East Shewa,Oromia
ET040702,Boset,East Shewa,Oromia
ET040707,Dugda,East Shewa,Oromia
ET040701,Fentale,East Shewa,Oromia
ET040705,Gimbichu,East Shewa,Oromia
ET040711,Liben Chukala,East Shewa,Oromia
ET040704,Lome (OR),East Shewa,Oromia
ET040799,Metehara town,East Shewa,Oromia
ET040797,Mojo town,East Shewa,Oromia
ET040207,Bila Seyo,East Wellega,Oromia
ET040205,Boneya Boshe,East Wellega,Oromia
ET040210,Diga,East Wellega,Oromia
ET040203,Gida Ayana,East Wellega,Oromia
ET040208,Gobu Seyo,East Wellega,Oromia
ET040213,Guto Gida,East Wellega,Oromia
ET040204,Haro Limu,East Wellega,Oromia
ET040202,Ibantu,East Wellega,Oromia
ET040214,Jimma Arjo,East Wellega,Oromia
ET040217,Kiremu,East Wellega,Oromia
ET040212,Leka Dulecha,East Wellega,Oromia
ET040201,Limu (OR),East Wellega,Oromia
ET040297,Nekemte town,East Wellega,Oromia
ET040215,Nunu Kumba,East Wellega,Oromia
ET040211,Sasiga,East Wellega,Oromia
ET040209,Sibu Sire,East Wellega,Oromia
ET040216,Wama Hagalo,East Wellega,Oromia
ET040206,Wayu Tuka,East Wellega,Oromia
ET041403,Adola,Guji,Oromia
ET041492,Adola town,Guji,Oromia
ET041482,Aga Wayu,Guji,Oromia
ET041411,Ana Sora,Guji,Oromia
ET041409,Arda Jila,Guji,Oromia
ET041402,Bore,Guji,Oromia
ET041408,Dama,Guji,Oromia
ET041410,Girja /Harenfema,Guji,Oromia
ET041490,Haro Walabu,Guji,Oromia
ET041405,Odo Shakiso,Guji,Oromia
ET041412,Saba Boru,Guji,Oromia
ET041499,Shakiso town,Guji,Oromia
ET041401,Uraga,Guji,Oromia
ET041404,Wadera,Guji,Oromia
