old_adm3_pcode,new_adm3_pcode,share_of_old,share_of_new,intersection_km2,old_adm3_name,new_adm3_name,likely_change_type
ET041220,ET042209,1,0.998825,3172.94842,Dhas,Dhas,one_to_one_redraw_or_recode
ET041413,ET042205,1,1,2361.2496,Gora Dola,Gora Dola,one_to_one_redraw_or_recode
ET041414O,ET042201,1,1,8.930036,Negele /Town/,Negele town,one_to_one_redraw_or_recode
ET041700O,ET041700,1,1,8.248082,Dodola Town,Dodola town,one_to_one_redraw_or_recode
ET041798,ET041711,1,0.095768,45.322218,Bishan Guracha,Shashemene town,likely_merge_many_old_to_new
ET042005O,ET042012,1,0.057137,8.461312,Sululta Town,Sululta,likely_merge_many_old_to_new
ET042008O,ET040709,1,0.00113,0.578486,Dukem,Bishoftu town,likely_merge_many_old_to_new
ET042016,ET040622,1,1,343.823033,Mulo,Mulo,one_to_one_redraw_or_recode
ET042018,ET040623,1,0.029264,4.197919,Sendafa Town,Sendafa town,likely_merge_many_old_to_new
ET070101,ET070001,1,1,235.983063,Kebena,Kebena Special,one_to_one_redraw_or_recode
ET070109OU049,ET070109,1,1,233.163288,Gumer,Gumer,one_to_one_redraw_or_recode
ET070115,ET070401,1,1,16.137437,Butajira Town,Butajira town,one_to_one_redraw_or_recode
ET070301,ET072601,1,1,339.645453,Tembaro,Tembaro Special,one_to_one_redraw_or_recode
ET070412,ET160203,1,1,179.16209,Malga,Malga,one_to_one_redraw_or_recode
ET070419,ET160101,1,0.133783,27.77707,Hawasa Town,Hawassa town,likely_merge_many_old_to_new
ET070421O,ET160101,1,0.006405,1.329886,Tula Town,Hawassa town,likely_merge_many_old_to_new
ET070486,ET160304,1,1,13.673183,Yirgalem Town Adm.,Yirgalem town,one_to_one_redraw_or_recode
ET070487,ET160404,1,1,5.247563,Aleta Wondo Town,Aleta Wondo town,one_to_one_redraw_or_recode
ET070505,ET081105,1,1,125.062726,Dila Zuria,Dila Zuria,one_to_one_redraw_or_recode
ET070507,ET081109,1,1,14.244283,Dila City Admin,Dila town,one_to_one_redraw_or_recode
ET070587,ET081111,1,1,2.205947,Yirgachefe Town,Yirgachefe town,one_to_one_redraw_or_recode
ET070601,ET080101,1,1,288.287596,Boloso sore,Boloso Sore,one_to_one_redraw_or_recode
ET070602,ET080102,1,1,241.962993,Damot Gale,Damot Gale,one_to_one_redraw_or_recode
ET070608,ET080108,1,1,272.265924,Boloso Bombe,Boloso Bombe,one_to_one_redraw_or_recode
ET070611,ET080111,1,1,165.099524,Damot Pulasa,Damot Pullasa,one_to_one_redraw_or_recode
ET070612,ET080112,1,0.931505,391.275059,Diguna Fango,Duguna Fango,likely_merge_many_old_to_new
ET070613,ET080113,1,1,25.624979,Sodo Town,Sodo town,one_to_one_redraw_or_recode
ET070614O,ET080114,1,1,14.870532,Areka Town,Areka town,one_to_one_redraw_or_recode
ET070615O,ET080115,1,1,13.686772,Boditi Town,Boditi town,one_to_one_redraw_or_recode
ET070705,ET081201,1,1,3603.64075,Bena Tsemay,Bena Tsemay,one_to_one_redraw_or_recode
ET070706,ET081202,1,1,2584.642146,Dasenech (Kuraz),Dasenech /Kuraz,one_to_one_redraw_or_recode
ET070707,ET081204,1,1,1431.239865,Male,Malie,one_to_one_redraw_or_recode
ET070708,ET081205,1,1,2807.671867,Gnangatom,Nyngatom,one_to_one_redraw_or_recode
ET070709,ET081206,1,1,4571.868854,Selamgo,Salamago,one_to_one_redraw_or_recode
ET070793,ET080506,1,1,8.885813,Jinka Town Admin,Jinka town,one_to_one_redraw_or_recode
ET070801,ET110101,1,1,755.682019,Masha,Anderacha,one_to_one_redraw_or_recode
ET070802,ET110102,1,1,1008.420294,Anderacha,Masha,one_to_one_redraw_or_recode
ET070803,ET110103,1,1,562.292837,Yeki,Yeki,one_to_one_redraw_or_recode
ET070804O,ET110104,1,1,13.71144,Tepi Town,Tepi,one_to_one_redraw_or_recode
ET070805O,ET110105,1,1,1.0031,Masha Town,Masha town,one_to_one_redraw_or_recode
ET070901,ET110201,1,1,781.247709,Sayilem,Saylem,one_to_one_redraw_or_recode
ET070903,ET110203,1,1,953.558596,Getawa,Gewata,one_to_one_redraw_or_recode
ET070904,ET110204,1,1,780.366212,Gimbo,Gimbo,one_to_one_redraw_or_recode
ET070905,ET110205,1,1,1011.243175,Menjiwo,Adiyio,one_to_one_redraw_or_recode
ET070906,ET110206,1,1,481.837031,Tulo (SNNP),Tullo,one_to_one_redraw_or_recode
ET070907,ET110207,1,1,685.140292,Cheta,Cheta,one_to_one_redraw_or_recode
ET070910,ET110210,1,1,1086.694459,Bita (Big),Bita,one_to_one_redraw_or_recode
ET070911,ET110211,1,1,13.672155,Bonga Town,Bonga town,one_to_one_redraw_or_recode
ET071002,ET080303,1,1,795.233133,Denibu Gofa,Denba Gofa,one_to_one_redraw_or_recode
ET071004,ET080205,1,1,464.231793,Boreda,Boreda,one_to_one_redraw_or_recode
ET071008,ET080209,1,1,283.273454,Dita,Dita,one_to_one_redraw_or_recode
ET071009,ET080208,1,1,361.954252,Daramalo,Daramalo,one_to_one_redraw_or_recode
ET071010,ET080311,1,1,730.212264,Zala,Zala,one_to_one_redraw_or_recode
ET071015,ET080308,1,1,174.750286,Ayida,O'yida,one_to_one_redraw_or_recode
ET071096,ET080201,1,1,33.369811,Arba Minch Town,Arba Minch town,one_to_one_redraw_or_recode
ET071097,ET080309,1,1,16.729192,Sawla Town,Sawla town,one_to_one_redraw_or_recode
ET071103,ET110303,1,1,623.490002,Debub Bench,Debub Bench,one_to_one_redraw_or_recode
ET071108,ET110505,1,1,594.443187,Bero,Bero,one_to_one_redraw_or_recode
ET071109,ET110506,1,1,4960.852134,Surma,Surma,one_to_one_redraw_or_recode
ET071111,ET110307,1,1,24.379574,Mizan Aman Town,Mizan Aman town,one_to_one_redraw_or_recode
ET071301,ET080601,1,0.9462,787.819138,Alle,Alle Special,likely_merge_many_old_to_new
ET071303,ET081001,1,1,1377.010736,Burji,Burji,one_to_one_redraw_or_recode
ET071306,ET080904,1,0.010359,3.880999,Segen town,Segen Zuria,likely_merge_many_old_to_new
ET071705,ET110405,1,1,1077.533191,Esira,Esara,one_to_one_redraw_or_recode
ET071790,ET110411,1,1,5.066498,Tercha Town,Tercha town,one_to_one_redraw_or_recode
ET072098,ET072010,1,0.201805,25.481431,Worabe Town,Worabe town,likely_merge_many_old_to_new
ET150111O,ET150111,1,1,1.338396,Dechatu,Dechatu,one_to_one_redraw_or_recode
ET150112O,ET150112,1,1,0.379421,Hafat Issa,Hafat Issa,one_to_one_redraw_or_recode
ET150113O,ET150113,1,1,12.815284,Kazira,Kazira,one_to_one_redraw_or_recode
ET150114O,ET150114,1,1,8.893232,Police Maret,Police Maret,one_to_one_redraw_or_recode
ET150201O,ET150201,1,1,102.551602,Aseliso,Aseliso,one_to_one_redraw_or_recode
ET070107,ET072501,0.999998,1,300.454246,Mareko,Mareko Special,one_to_one_redraw_or_recode
ET041004OU031,ET041004,0.999305,1,4879.355714,Babile (Oromia),Babile (OR),likely_split_old_to_many_new
ET070704,ET081203,0.999099,1,5890.341501,Hamer,Hamer,likely_split_old_to_many_new
ET071302,ET080801,0.99899,1,1623.514083,Amaro,Amaro,likely_split_old_to_many_new
ET031213OU025,ET031213,0.998306,1,5325.991162,Metema,Metema,likely_split_old_to_many_new
ET030713,ET031305,0.998187,1,1100.111108,Debub Achefer,Debub Achefer,likely_split_old_to_many_new
ET071011,ET080310,0.997178,1,751.765143,Ouba Debretsehaye,Uba Debre Tsehay,likely_split_old_to_many_new
ET070420,ET160202,0.996522,1,205.054549,Wondo-Genet,Wondo-Genet,likely_split_old_to_many_new
ET030505OU067,ET030505,0.996394,1,1109.022262,Menze Gera Midir,Menze Gera Midir,likely_split_old_to_many_new
ET070902,ET110202,0.996383,1,725.199107,Gesha (Deka),Gesha,likely_split_old_to_many_new
ET030202OU013,ET030202,0.996359,0.862645,996.432785,Libokemekem,Libokemekem,likely_split_old_to_many_new
ET030308OU012,ET030308,0.996325,1,1317.630561,Habru,Habru,likely_split_old_to_many_new
ET030502OU009,ET030502,0.99592,1,1045.210311,Merhabete,Merhabete,likely_split_old_to_many_new
ET071005,ET080219,0.995885,1,798.101654,Mirab Abaya,Mirab Abaya,likely_split_old_to_many_new
ET030613OU006,ET030613,0.995875,1,624.823834,Dejen,Dejen,likely_split_old_to_many_new
ET030703OU021,ET031303,0.995768,1,922.781593,Yilmana Densa,Yilmana Densa,likely_split_old_to_many_new
ET030105OU008,ET030105,0.995643,1,1089.731049,Dabat,Dabat,likely_split_old_to_many_new
ET030405OU018,ET030405,0.99557,1,441.966289,Thehulederie,Thehulederie,likely_split_old_to_many_new
ET030606OU005,ET030606,0.995193,1,729.93111,Enemay,Enemay,likely_split_old_to_many_new
ET030415OU020,ET030415,0.99495,1,737.765809,Were Ilu,Were Ilu,likely_split_old_to_many_new
ET030205OU016,ET030205,0.994938,1,1515.782874,Lay Gayint,Lay Gayint,likely_split_old_to_many_new
ET071102,ET110302,0.994879,1,2516.550305,Gurafereda,Gurafereda,likely_split_old_to_many_new
ET070703,ET080508,0.994335,1,279.396266,Gelila / North Ari,North Ari,likely_split_old_to_many_new
ET041105,ET042101,0.994299,1,2209.529326,Gololcha Bale,Gololcha Bale,one_to_one_redraw_or_recode
ET031206OU024,ET031206,0.993603,1,1488.777579,Mirab Armacho,Mirab Armacho,likely_split_old_to_many_new
ET030708OU023,ET030708,0.992871,1,964.366231,Dembecha,Dembecha,likely_split_old_to_many_new
ET070701,ET080401,0.992479,1,407.588168,Basketo SP Woreda,Basketo Special,likely_split_old_to_many_new
ET042098,ET042004,0.992335,0.243781,30.171315,Gelana (Finfine),Galan,likely_merge_many_old_to_new
ET071304,ET080701,0.991268,1,693.276201,Derashe,Derashe,likely_split_old_to_many_new
ET010411,ET990304,0.991246,0.434554,5.493457,Alamata Town,Alamata town,likely_merge_many_old_to_new
ET030412OU019,ET030412,0.989508,1,1017.611648,Borena / Debresina,Borena /Debresina,likely_split_old_to_many_new
ET071104,ET110304,0.988471,1,553.640416,Shay Bench,Shay Bench,likely_split_old_to_many_new
ET030508OU066,ET030508,0.988338,1,511.116117,Eferatana Gidem,Eferatana Gidem,likely_split_old_to_many_new
ET071017,ET080304,0.985868,1,518.745255,Geze Gofa,Gezei Gofa,likely_split_old_to_many_new
ET050201,ET050204,0.985716,0.247097,400.663815,Babile (Somali),Shabeeley,likely_merge_many_old_to_new
ET041118,ET042105,0.984353,1,9055.491225,Seweyna,Seweyna,one_to_one_redraw_or_recode
ET040101OU048,ET040101,0.981457,1,1806.88483,Mana Sibu,Mana Sibu,likely_split_old_to_many_new
ET011067,ET010703,0.98132,0.211404,8.803972,Ayder,Ayder Sub City,likely_merge_many_old_to_new
ET030208OU063,ET030208,0.975389,1,1332.313568,East Esite,East Esite,likely_split_old_to_many_new
ET071107,ET110507,0.974859,1,4541.244617,Maji,Maji,likely_split_old_to_many_new
ET070609,ET080109,0.974259,1,176.306775,Damot Sore,Damot Sore,likely_split_old_to_many_new
ET041099O,ET041019,0.97103,0.161232,57.411613,Aweday Town,Maya town,likely_merge_many_old_to_new
ET010410,ET990303,0.969396,0.656876,7.366806,Korem Town,Korem town,likely_merge_many_old_to_new
ET070304OU052,ET070304,0.968545,1,183.312842,Kacha Bira,Kacha Bira,likely_split_old_to_many_new
ET070414,ET160307,0.965417,1,848.010207,Loka Abaya,Loka Abaya,likely_split_old_to_many_new
ET071101,ET110301,0.958542,1,468.909855,Sheka,Sheko,likely_split_old_to_many_new
ET070606,ET080106,0.955312,1,502.85579,Kindo Koyesha,Kindo Koyesha,likely_split_old_to_many_new
ET070404,ET160305,0.954211,0.874021,251.34001,Dale,Dale,likely_merge_many_old_to_new
ET010407,ET990301,0.953118,0.929878,716.727968,Alamata,Raya Alamata,complex_many_to_many
ET0201051,ET020109,0.944346,0.955472,2210.45825,Adaa'r,Adar,likely_split_old_to_many_new
ET070417,ET160405,0.944132,1,288.86448,Chuko,Aleta Chuko,likely_split_old_to_many_new
ET070501,ET081101,0.926006,1,136.242022,Wenago,Wenago,likely_split_old_to_many_new
ET070305OU051,ET070305,0.923048,1,175.706949,Hadero Tunto,Hadero Tunto,likely_split_old_to_many_new
ET042004O,ET042002,0.918516,0.303526,29.74813,Lege tafo-Lege Dadi Town,Eka Tafo,complex_many_to_many
ET070418,ET160502,0.909182,1,200.778119,Bona Zuria,Bona Zuria,likely_split_old_to_many_new
ET070605,ET080105,0.905659,1,366.315398,Sodo Zuria,Sodo Zuria,likely_split_old_to_many_new
ET041799O,ET041799,0.895047,0.549182,28.087548,Arsi Negele Town,Arsi Negele town,complex_many_to_many
ET011062,ET010707,0.887142,0.838279,30.317174,Debub & Semen Mekele,Semen Sub City,complex_many_to_many
ET030307OU011,ET030307,0.87815,1,791.342459,Guba Lafto,Guba Lafto,likely_split_old_to_many_new
ET011068,ET010704,0.877906,0.302384,4.791392,Adhaki,Hawelti Sub City,complex_many_to_many
ET070405,ET160403,0.875731,1,197.402028,Aleta Wendo,Aleta Wendo,likely_split_old_to_many_new
ET071201,ET072404,0.874474,1,668.228501,Yem SP Woreda,Toba,likely_split_old_to_many_new
ET030702,ET031310,0.867012,0.791905,1251.417115,Bahirdar Zuria,Bahir Dar Zuria,likely_split_old_to_many_new
ET070502,ET081102,0.857434,1,245.478147,Yirgachefe,Yirgachefe,likely_split_old_to_many_new
ET071016,ET080202,0.84994,0.999815,1489.860319,Arba Minch Zuria,Arba Minch Zuria,likely_split_old_to_many_new
ET040704OU068,ET040704,0.848265,0.989192,630.459614,Lome (Oromia),Lome (OR),likely_split_old_to_many_new
ET071013,ET080212,0.836736,1,662.930726,Bonke,Geressie,likely_split_old_to_many_new
ET041113,ET042203,0.828132,0.999571,7291.082591,Meda Welabu,Meda Welabu,likely_split_old_to_many_new
ET070702,ET080511,0.805752,1,1637.964333,South Ari (Bako Gazer),South Ari,likely_split_old_to_many_new
ET070607,ET080107,0.805003,0.999262,310.276078,Ofa,Ofa,likely_split_old_to_many_new
ET070205OU065,ET070205,0.803222,1,239.178612,Misrak Badawacho,Misrak Badawacho,likely_split_old_to_many_new
ET070413,ET160303,0.800653,1,143.816125,Wonosho,Wonosho,likely_split_old_to_many_new
ET070503,ET081103,0.792529,1,153.877091,Kochere,Kochere,likely_split_old_to_many_new
ET010501,ET990103,0.792473,0.982591,4915.343082,Kafta Humera,Kafta Humera,likely_split_old_to_many_new
ET041412OU033,ET041412,0.781327,1,2263.895145,Saba Boru,Saba Boru,likely_split_old_to_many_new
ET071007,ET080207,0.776869,1,290.226161,Chencha,Chencha Zuriya,likely_split_old_to_many_new
ET042013,ET040620,0.774995,1,883.990394,Sululta,Sululta (OR),likely_split_old_to_many_new
ET050704OU055,ET050704,0.770989,0.746544,8108.204522,Warder,Warder,complex_many_to_many
ET070106,ET070404,0.753466,1,331.058868,Meskan,Meskan,likely_split_old_to_many_new
ET050598,ET050586,0.736032,0.480183,1606.211801,El-Ogaden,Marsin,likely_split_old_to_many_new
ET020101OU001,ET020101,0.731776,0.902747,5426.572005,Dubti,Dubti,complex_many_to_many
ET041502OU064,ET041502,0.721776,1,552.938177,Kercha,Kercha,likely_split_old_to_many_new
ET070416,ET160401,0.717515,0.998555,159.40897,Bursa,Bursa,likely_split_old_to_many_new
ET070610,ET080110,0.7141,1,271.679425,Kindo Dida,Kindo Daddaye,likely_split_old_to_many_new
ET071701,ET110401,0.710375,1,529.155852,Tocha,Tocha,likely_split_old_to_many_new
ET071003,ET080217,0.709246,1,987.184924,Kucha,Kucha,likely_split_old_to_many_new
ET011065,ET010704,0.704162,0.543143,8.606308,Hawelti,Hawelti Sub City,complex_many_to_many
ET041401OU035,ET041401,0.702693,1,612.655885,Uraga,Uraga,likely_split_old_to_many_new
ET070403,ET160301,0.695508,1,227.109356,Arbe Gonna,Arbegona,likely_split_old_to_many_new
ET050198,ET050104,0.692796,0.17636,729.165996,Gota-biki,Erer (SM),complex_many_to_many
ET050199,ET050109,0.691784,0.317938,716.670027,Gablalu,Dhunyar,complex_many_to_many
ET030304OU010,ET030304,0.690965,1,1320.260072,Meket,Meket,likely_split_old_to_many_new
ET070411,ET160204,0.690295,0.868261,147.317351,Gorche,Gorche,complex_many_to_many
ET040102OU047,ET040102,0.689633,1,645.35018,Nejo,Nejo,likely_split_old_to_many_new
ET071110,ET110305,0.68801,1,269.444784,Semen Bench,Semen Bench,likely_split_old_to_many_new
ET041703OU042,ET041703,0.687241,0.997401,1263.778752,Arsi Negele,Arsi Negele,complex_many_to_many
ET010408,ET990302,0.687134,0.977993,761.835019,Ofla,Ofla,likely_split_old_to_many_new
ET050206OU059,ET050206,0.686196,0.969305,2745.948735,Kebribeyah,Kebribeyah,likely_split_old_to_many_new
ET030201OU015,ET030201,0.683633,1,1614.939921,Ebenat,Ebenat,likely_split_old_to_many_new
ET041009OU032,ET041009,0.680395,1,462.146014,Meta,Meta,likely_split_old_to_many_new
ET050402OU057,ET050402,0.680004,0.910996,2787.154785,Fik,Fik,complex_many_to_many
ET040510OU045,ET040510,0.679134,0.989512,726.815657,Dendi,Dendi,likely_split_old_to_many_new
ET041905,ET041913,0.664887,0.446013,563.642439,Abay Chomen,Sulula Finca'a,likely_merge_many_old_to_new
ET041212OU028,ET041212,0.664444,1,7817.541837,Teltale,Teltale,likely_split_old_to_many_new
ET070105,ET070403,0.663471,1,553.542285,Sodo,Sodo,likely_split_old_to_many_new
ET041207OU029,ET041207,0.661503,1,2661.269537,Yabelo,Yabelo,likely_split_old_to_many_new
ET071105,ET110502,0.66031,1,1111.759768,Menit Goldiye,Menit Goldiye,likely_split_old_to_many_new
ET040803OU026,ET040803,0.654326,1,1111.356341,Golocha,Golocha,likely_split_old_to_many_new
ET010503,ET990105,0.653662,0.983517,2148.600859,Tsegede (Tigray),Tsegede,likely_split_old_to_many_new
ET042014OU069,ET040520,0.648449,1,437.270577,Welmera,Welmera,likely_split_old_to_many_new
ET010106,ET990201,0.647991,0.996336,1830.116451,Tselemti,Tselemti /West Telemt,likely_split_old_to_many_new
ET041803OU041,ET041803,0.639362,1,529.466673,Dale Wabera,Dale Wabera,likely_split_old_to_many_new
ET071703,ET110409,0.636631,1,745.791974,Lome (SNNP),Disa,likely_split_old_to_many_new
ET070908,ET110212,0.636182,1,1879.096219,Decha,Goba (SW),likely_split_old_to_many_new
ET042006,ET041306,0.633833,1,475.498522,Sebeta Hawas,Sebeta Hawas,likely_split_old_to_many_new
ET041903OU036,ET041903,0.632194,0.975636,829.469675,Guduru,Guduru,likely_split_old_to_many_new
ET030704OU022,ET031306,0.629979,1,935.36605,Mecha,Debub Mecha,likely_split_old_to_many_new
ET070401,ET160207,0.629007,0.748936,124.047351,Shebe Dino,Shebe Dino,complex_many_to_many
ET010502,ET990104,0.62513,0.965468,2374.888953,Welkait,Welkait,likely_split_old_to_many_new
ET041210,ET041290,0.623517,0.694063,1669.761825,Moyale (Oromia),Guchi,one_to_one_redraw_or_recode
ET070402,ET160210,0.623124,1,339.116069,Hawassa Zuria,Hawassa Zuria,likely_split_old_to_many_new
ET030204OU014,ET030204,0.618792,1,755.083314,Farta,Farta,likely_split_old_to_many_new
ET070408,ET160503,0.614712,1,335.799016,Bensa,Bensa,likely_split_old_to_many_new
ET070603,ET080103,0.612785,1,215.779292,Damot Weydie,Damot Woide,likely_split_old_to_many_new
ET071001,ET080306,0.606943,1,941.466947,Melekoza,Melekoza,likely_split_old_to_many_new
ET020301,ET020307,0.606434,0.999993,2104.052455,Amibara,Hanruka,likely_split_old_to_many_new
ET011066,ET010702,0.604323,0.198641,12.896458,Hadnet,Hadnet Sub City,complex_many_to_many
ET031111OU004,ET031125,0.60091,0.619194,778.667513,Dembia,West Dembiya,likely_split_old_to_many_new
ET070506,ET081106,0.597978,1,189.969271,Kochere Gedeb,Gedeb,likely_split_old_to_many_new
ET070406,ET160407,0.597264,1,147.966661,Dara,Dara,likely_split_old_to_many_new
ET030207OU017,ET030207,0.594278,1,1335.036323,Semada,Semada,likely_split_old_to_many_new
ET050702OU054,ET050702,0.589031,0.996179,8043.158795,Bokh,Bokh,likely_split_old_to_many_new
ET010601,ET010606,0.587273,0.986231,1022.623143,Saharti Samre,Samre,likely_split_old_to_many_new
ET051103,ET051198,0.586067,0.47692,1035.99967,Moyale (Somali),Qada Duma,one_to_one_redraw_or_recode
ET030603OU007,ET030619,0.583255,1,605.879738,Goncha Siso Enebse,Sedae,likely_split_old_to_many_new
ET071012,ET080215,0.580062,1,673.602379,Kemba,Kemba Zuria,likely_split_old_to_many_new
ET050898,ET050807,0.572056,0.241322,1483.082589,Kohle/Qoxle,Barey,complex_many_to_many
ET040703,ET040714,0.570719,0.727117,469.119976,Adama,Adama town,likely_merge_many_old_to_new
ET040502OU044,ET040502,0.570491,1,749.007165,Jeldu,Jeldu,likely_split_old_to_many_new
ET051104,ET051187,0.566496,0.234079,1737.900492,Hudet,Mubarek,one_to_one_redraw_or_recode
ET071704,ET110410,0.56411,1,512.9391,Gena Bosa,Zabagazo,likely_split_old_to_many_new
ET070407,ET160409,0.558639,1,161.755514,Hulla,Hulla,likely_split_old_to_many_new
ET071106,ET110504,0.542383,1,1585.765873,Menit Shasha,Menit Shasha,likely_split_old_to_many_new
ET041211OU027,ET041211,0.54042,1,2744.705488,Dire,Dire,likely_split_old_to_many_new
ET070504,ET081107,0.540029,0.886372,148.29479,Bule,Rape,complex_many_to_many
ET050404OU056,ET050404,0.53905,0.775329,1768.772353,Hamero,Hamero,complex_many_to_many
ET050601OU071,ET050601,0.538126,0.990855,2965.140625,East Imi,East Imi,likely_split_old_to_many_new
ET040415OU038,ET040495,0.534385,1,958.01,Chora (Jimma),Botor Tolay,likely_split_old_to_many_new
ET041208OU030,ET042208,0.529646,1,5066.440433,Arero,Wachile,likely_split_old_to_many_new
ET040514OU046,ET040594,0.527842,1,506.322894,Meta Robi,Meta Walkite,likely_split_old_to_many_new
ET050205OU058,ET050205,0.527544,0.999824,1764.665731,Aw-bare,Aw-Bare,likely_split_old_to_many_new
ET040901OU043,ET040901,0.520479,1,1507.25945,Mieso,Mieso,likely_split_old_to_many_new
ET070909,ET110213,0.520247,1,549.477752,Chena,Shisho Ande,likely_split_old_to_many_new
ET050302OU060,ET050302,0.519238,0.948391,3417.867321,Degehabur,Degehabur,likely_split_old_to_many_new
ET070201,ET070215,0.517918,1,188.058338,Misha,Ameka,one_to_one_redraw_or_recode
ET030903OU002,ET030908,0.515534,1,537.979899,Ankasha,Ayehu Guwagusa,likely_split_old_to_many_new
ET041006,ET041019,0.514603,0.735819,262.010742,Haro Maya,Maya town,likely_merge_many_old_to_new
ET010202,ET010216,0.513934,0.967728,649.425071,Aheferom,Egela,likely_split_old_to_many_new
ET010208,ET010221,0.512777,0.979842,700.921035,Kola Temben,Keyhe tekli,complex_many_to_many
ET072101OU050,ET071404,0.512558,1,501.080826,Halaba SP Woreda,Wera Djo,likely_split_old_to_many_new
ET041407OU034,ET042202,0.511999,1,2645.120142,Liben,Liben,likely_split_old_to_many_new
ET040410OU039,ET040410,0.508848,1,784.823094,Dedo,Dedo,likely_split_old_to_many_new
ET071901,ET110601,0.507052,1,1193.361014,Ela (Konta) SP Woreda,Konta Koysha,likely_split_old_to_many_new
ET040411OU040,ET040491,0.505782,1,799.698153,Omo Nada,Omo Beyam,likely_split_old_to_many_new
ET031120,ET031119,0.504581,0.920538,1367.234566,Tach Armacho,Masero Denb /Central Armacho,likely_merge_many_old_to_new
ET050290,ET050301,0.497281,0.103357,364.309038,Goljano,Degehamedo,likely_merge_many_old_to_new
ET040411OU040,ET040411,0.494218,1,781.413981,Omo Nada,Omo Nada,likely_split_old_to_many_new
ET041290,ET041210,0.493438,0.416549,717.642142,Guchi,Moyale (OR),one_to_one_redraw_or_recode
ET040410OU039,ET040490,0.491152,1,757.529559,Dedo,Mancho,likely_split_old_to_many_new
ET041901OU037,ET041912,0.489343,1,440.983927,Horo,Horo Buluk,likely_split_old_to_many_new
ET070409,ET160507,0.48921,0.906311,368.917918,Aroresa,Aroresa,complex_many_to_many
ET031112OU003,ET031205,0.48813,1,1482.082706,Chilga,Adagn Ager Chaqo,likely_split_old_to_many_new
ET041407OU034,ET042206,0.488001,1,2521.137962,Liben,Gumi Idalo,likely_split_old_to_many_new
ET070415,ET160506,0.485787,1,165.031662,Chire,Chire,likely_split_old_to_many_new
ET140104,ET140111,0.483881,0.686485,61.322347,Bole,Lemi Kura Sub City,likely_merge_many_old_to_new
ET050899,ET050807,0.482974,0.183994,1130.761636,God-god,Barey,likely_merge_many_old_to_new
ET020403,ET020406,0.479581,1,2778.613629,Teru,Mabay,one_to_one_redraw_or_recode
ET040901OU043,ET040991,0.477655,1,1383.245563,Mieso,Gumbi Bordede,likely_split_old_to_many_new
ET050604OU062,ET050604,0.476684,0.94835,1971.4402,Gode,Gode,likely_split_old_to_many_new
ET030903OU002,ET030903,0.476594,1,497.344268,Ankasha,Ankasha,likely_split_old_to_many_new
ET040514OU046,ET040514,0.472158,1,452.908379,Meta Robi,Meta Robi,likely_split_old_to_many_new
ET050604OU062,ET050698,0.471541,0.71437,1950.17228,Gode,Elale,complex_many_to_many
ET050902OU061,ET050999,0.470637,0.9532,4462.153598,Dolo Odo,Bokolmayo,likely_split_old_to_many_new
ET041208OU030,ET042207,0.470354,1,4499.272132,Arero,Arero,likely_split_old_to_many_new
ET040415OU038,ET040415,0.465615,1,834.723398,Chora (Jimma),Chora (Jimma),likely_split_old_to_many_new
ET070409,ET160508,0.464185,1,350.046754,Aroresa,Hokko,likely_split_old_to_many_new
ET041797,ET041711,0.462704,0.073631,34.845782,Wondo,Shashemene town,complex_many_to_many
